X,Y,SITEADDRESS,CITY,ZIPCODE,PERMITSTATUS,PERMITYEAR,PROJECTNAME,PROJECTDESCRIPTION,ISSUEDDATE,TOTALPAID,SUBAREA,NEIGHBORHOODAREA,SUBTYPE,ZONING,LOTSIZE
-122.17632385299999,47.6218996040001,1325 123rd Ave NE,Bellevue,98005,Pending,2021,Block 13 - Variance Request,"Block 13 in The Spring District is a new, nine-story office building with four floors of below-grade, structured parking centrally located in the District and bounded by the MDP-approved, private 122nd Avenue NE to the west, NE 14th Terrace to the north, 123rd Avenue NE to the east, and an existing plaza to the south.",,1615.0,Belred,Belred,Nonresidential,[BR-OR-1] Bel-Red-Office/Residential Node 1,829376.0
-122.18717820100001,47.6304225100001,2275 116th Ave NE,Bellevue,980043032,Closed,2021,SD30 5G/NR 2021,Relocate existing sector 2 antennas and equipment to the southwest parapet of the existing building rooftop and conceal behind (and anchored to) new FRP screen wall assembly. Replace existing FRP screening with new FRP screen wall assembly for Sector 1 and Sector 3 antennas and equipment. Temp COW required during site upgrade.,2021/07/15 06:59:59+00,355.0,Belred,Belred,Nonresidential,[BR-MO] Bel-Red-Medical Office,45635.0
-122.17840607,47.622380299999996,1444 121st Ave NE,Bellevue,980052101,Issued,2021,Bellevue Spring District Farmers Market,"Wednesday Farmers Markets from 11am-2pm on 7/14, 8/4, 8/18, and 9/1, 2021. Featuring local farmers and food producers for the residence and visitors of the Bellevue Spring District.",2021/07/10 06:59:59+00,535.0,Belred,Belred,Nonresidential,[BR-OR-1] Bel-Red-Office/Residential Node 1,15704.0
-122.12677983299999,47.6205598060001,16000 NE 10th St,Bellevue,98008391,Issued,2021,COBP-Crossroads Community Center Vaccination Site,Seattle/King County Public Health exercising existing MOU with City of Bellevue to activate a community point of distribution in Community Center.,2021/07/12 06:59:59+00,535.0,Crossroads,Crossroads,Nonresidential,[O] Office,1164222.0
-122.18934732,47.607244888000004,300 112th Ave SE,Bellevue,980046412,Pending,2021,Zumiez Vendor Village,Parking lot event for Zumiez Managers Meetings,,355.0,Southwest Bellevue,West Bellevue,Nonresidential,[OLB] Office and Limited Business,414376.0
-122.17505454100001,47.6201213860001,1209 124th Ave NE,Bellevue,980052101,Closed,2021,Block 15 - Preapplication Conference,"Block 15 is an 11-story office building with retail at ground level and six levels of below-grade structured parking at The Spring District in Bellevue, Washington.",2021/08/04 06:59:59+00,,Belred,Belred,Nonresidential,[BR-OR-2] Bel-Red-Office/Residential Node 2,829376.0
-122.176148612,47.62380683600001,1646 123rd Ave NE  - Lot 6,Bellevue,980052101,Closed,2021,Block 6,"Set up a mobile crane on Sunday 5/16/21 in our laydown yard next to our jobsite to erect our tower crane on Monday 5/17/21., 20 109080 BB",2021/05/10 06:59:59+00,187.0,Belred,Belred,Nonresidential,[BR-OR-1] Bel-Red-Office/Residential Node 1,
-122.176148612,47.62380683600001,1646 123rd Ave NE  - Lot 6,Bellevue,980052101,Closed,2021,Block 6,"Pouring concrete elevator shaft., 20 109080 BB",2021/05/27 06:59:59+00,187.0,Belred,Belred,Nonresidential,[BR-OR-1] Bel-Red-Office/Residential Node 1,
-122.176148612,47.62380683600001,1646 123rd Ave NE  - Lot 6,Bellevue,980052101,Issued,2021,Block 6,"Erect Tower Crane and pour elevator concrete shaft., 20 109080 BB",2021/05/21 06:59:59+00,187.0,Belred,Belred,Nonresidential,[BR-OR-1] Bel-Red-Office/Residential Node 1,
-122.176148612,47.62380683600001,1646 123rd Ave NE  - Lot 6,Bellevue,980052101,Issued,2021,Block 6,"Road Closure on Spring Blvd from 124th Ave NE to 121st  Ave NE  to stage a 550 mobile crane in the roadway to remove the conveyor.  Detour will be in place., 20 109080 BB",2021/06/17 06:59:59+00,187.0,Belred,Belred,Nonresidential,[BR-OR-1] Bel-Red-Office/Residential Node 1,
-122.176148612,47.62380683600001,1646 123rd Ave NE  - Lot 6,Bellevue,980052101,Issued,2021,Block 6,Early start hours for concrete pour on June 28th and 29th due to high heat forecast.  High Heat poses a risk to quality of the pour.  Applicant proposes to begin work at 5:00 a.m.  20 109080 BB,2021/06/25 06:59:59+00,187.0,Belred,Belred,Nonresidential,[BR-OR-1] Bel-Red-Office/Residential Node 1,
-122.176148612,47.62380683600001,1646 123rd Ave NE  - Lot 6,Bellevue,980052101,Issued,2021,Block 6,"Pouring LV B concrete deck. Can only get concrete early in the morning., 20 111133 BB",2021/08/11 06:59:59+00,187.0,Belred,Belred,Nonresidential,[BR-OR-1] Bel-Red-Office/Residential Node 1,
-122.176148612,47.62380683600001,1646 123rd Ave NE  - Lot 6,Bellevue,980052101,Issued,2021,Block 6,"Due to high temperatures we need to start the concrete pour at 7 AM., Work is allowed Sat Aug 14, 2021 from 7am to 3pm",2021/08/12 06:59:59+00,187.0,Belred,Belred,Nonresidential,[BR-OR-1] Bel-Red-Office/Residential Node 1,
-122.20134775700001,47.6067540020001,410 Bellevue Way SE,Bellevue,980045015,Closed,2021,SE02407A Kilmarnock Building - T-Mobile  L600 Mods,"Replace (2) panel antennas, add (2) RRUS, modify existing FRP for new antennas, add (1) junction box with (2) jumper cables at equipment area.",2021/09/30 06:59:59+00,1263.0,Southwest Bellevue,West Bellevue,Nonresidential,[O] Office,47816.0
-122.17367309,47.6272433830001,1800 124th Ave NE,Bellevue,980052112,Issued,2021,Verizon Wireless - SEA Safeway,"The applicant, Verizon, proposes to modify an existing telecommunication facility at 1800 124th Avenue NE, Bellevue, WA (Parcel Number 282505-9262). The proposed modification will consist of: adding three (3) new antennas and modify auxiliary equipment., LAND USE ID# 942938",2021/06/23 06:59:59+00,1109.0,Belred,Belred,Nonresidential,[BR-OR] Bel-Red Office/Residential,229383.0
-122.157124965,47.616852509000104,13635 NE 8th St,Bellevue,98005,Issued,2021,Verizon Wireless - SEA Glendale,Modification to an existing wireless facility.  Associated land-use permit #21 106972 DC.,2021/05/13 06:59:59+00,1109.0,Wilburton/ne 8th St,Crossroads,Nonresidential,[O] Office,21637.0
-122.20134775700001,47.6067540020001,410 Bellevue Way SE,Bellevue,980045015,Issued,2021,SE02407A Kilmarnock Building - T-Mobile Anchor Mod,"T-Mobile is proposing the following modifications to the existing rooftop wireless facility: Remove and replace (4) existing antennas with (3) new antennas, Modify existing FRP panel on antenna screen to accommodate the new antennas, Install (2) new RRUs near the antennas, Remove (8) existing TMAs, Remove and replace (3) cabinets with (2) new cabinets, Install (3) new Rooftop junction boxes with jumpers to the new RRUs, Install (1) new fiber cube cabinet, Remove and replace (1) existing AC panel for (1) new 200A AC panel and upgrade power, Remove and replace (1) step-down transformer, and (1) technician light, and Remove (8) coax cables and (8) diplexers.",2021/05/20 06:59:59+00,1109.0,Southwest Bellevue,West Bellevue,Nonresidential,[O] Office,47816.0
-122.189327125,47.5959349460001,1800 114th Ave SE,Bellevue,98004,Ready to Issue,2021,SE02614A Spieker Bellefield (L600; Anchor) - T-Mob,"Eligible Facilities Request for an existing rooftop mounted WCF. On the rooftop of the existing office building, replace (2) of the existing (4) panel antennas and add (2) new panel antennas for a new total of (6), replace all (4) remote radio units, remove (4) over-voltage protector units, add (2) hybrid cable junction boxes, remove (8) diplexer units at the antennas, add (4) diplexer units at the radio cabinets, and replace (2) of the existing (3) radio equipment cabinets., N/A",,994.0,Southwest Bellevue,West Bellevue,Nonresidential,[O] Office,184965.0
-122.190039805,47.622049848000096,1200 112th Ave NE  - Bldg A,Bellevue,980043708,Ready to Issue,2021,Sea Horse,"Remove 12 antennas and equipment, replace with l2 antennas and equipment per plans.  6409 approval # 21-107344-DC",,1109.0,North Bellevue,Northwest Bellevue,Nonresidential,[OLB] Office and Limited Business,
-122.18717820100001,47.6304225100001,2275 116th Ave NE,Bellevue,980043032,Issued,2021,SD30 5G/NR 2021,Relocate existing sector 2 antennas and equipment to the southwest parapet of the existing building rooftop and conceal behind (and anchored to) new FRP screen wall assembly. Replace existing FRP screening with new FRP screen wall assembly for Sector 1 and Sector 3 antennas and equipment.,2021/08/05 06:59:59+00,1109.0,Belred,Belred,Nonresidential,[BR-MO] Bel-Red-Medical Office,45635.0
-122.18728235299999,47.6050372220001,11400 SE 6th St,Bellevue,980046423,Ready to Issue,2021,Verizon Wireless SEA Bellevue Hilton 5G,"AT an existing rooftop (unscreened) wireless facility; removed 9 panel antennas, 4 RRUs, 2 diplexer, 4 in cabinet radios, rmeove electrical and remove 4 cabinets.  ADD 2 LS6 antennas, add one 5G antenna, add 4 panel antennas, add one dual-mount bracket, add 2 RRUs, add 4 dummy block per plan, 21 111335 DC",,1109.0,Southwest Bellevue,West Bellevue,Nonresidential,[OLB] Office and Limited Business,119921.0
-122.185675283,47.6153778770001,625 116th Ave NE,Bellevue,980045207,Closed,2021,Sea Belleville,"Existing WCF concealed enclosure, exchanging 6 antenna and add 6 new antennas all within concealment.  No change to height or appearance of WCF.",2021/06/17 06:59:59+00,374.0,Wilburton/ne 8th St,Wilburton,Nonresidential,[OLB] Office and Limited Business,158406.0
-122.15612387,47.623483949,13831 NE Bellevue-Redmond Rd,Bellevue,980054519,Pending,2021,Early World Childrens School Bridge Replacement,"The existing lower wooden bridge on-site, which provides vehicular access from NE Bel-Red Road to the Early World Childrens School, has deteriorated to a point that it is no longer usable. The bridge spans Kelsey Creek, a Type F stream. The bridge is proposed for replacement in the same location. Of note, the bridge ties into the City of Bellevue sidewalk system, which in the subject location, includes a combination of asphalt, concrete, and wood decking that is cantilevered over the stream.",,3309.5,Belred,Belred,Nonresidential,[BR-ORT] Bel-Red-Office/Residential Transition,21590.0
-122.127868702,47.629201816000005,2125 158th Ct NE  - Bldg C,Bellevue,980082409,Pending,2021,Bellevue Tech Center,Installation of a 20'x60' retractable awning,,224.0,Crossroads,Northeast Bellevue,Nonresidential,[O] Office,
-122.18728235299999,47.6050372220001,11400 SE 6th St,Bellevue,980046423,Closed,2021,Verizon Wireless SEA Bellevue Hilton 5G,"At an existing approved rooftop WCF, remove 9 panel antennas, ancillary/electrical, remove two equipment cabinets.  Add two LSg antennas, add one 5G antenna, add 4 panel antennas, add one dual mount brackets, add 2 RRUs and 4 dummyblocks per plan, LJ 14 144014",2021/07/27 06:59:59+00,374.0,Southwest Bellevue,West Bellevue,Nonresidential,[OLB] Office and Limited Business,119921.0
-122.178239983,47.627521339000104,1975 124th Ave NE,Bellevue,980052113,Closed,2021,East Base UST Replacement,"West wall of the East Base Fuel & Wash Building. We want to place two (2) new, non-fuel, aboveground storage tanks (ASTs) in that location with spill bucket ports for delivery by vendors.  I have attached a sheet that shows an early 30pct Design level of what we might expect in that location.  We would like to get some clarity on whether or not this alcove is considered interior or exterior because we think an exterior designation may require that we seek a Critical Areas Land Use Permit from the City of Bellevue, whereas an interior designation may not.",2021/04/30 06:59:59+00,626.25,Belred,Belred,Nonresidential,[BR-OR-2] Bel-Red-Office/Residential Node 2,716631.0
-122.126540961,47.61772913,16000 NE 8th St,Bellevue,980083939,Closed,2021,SEA CROSSROADS MALL (LS6) - Verizon,"This project replaces 19-131614-DC and 20 101156 CD, which was never installed. On the rooftop of the existing three-story multi-tenant apartment building and inside the existing Verizon screened enclosure, remove all (12) antennas and replace with (10) antennas, remove (3) remote radio units, add (6) combiner units, replace (1) over-voltage protector (OVP), and replace (1) hybrid cable trunk line., N/A",2021/02/03 08:00:00+00,187.0,Crossroads,Crossroads,Nonresidential,[O] Office,62311.0
-122.17367309,47.6272433830001,1800 124th Ave NE,Bellevue,980052112,Closed,2021,Verizon Wireless - SEA Safeway DC,"Verizon Wireless proposes to modify an existing telecommunication facility at 1800 124th Avenue NE, Bellevue, WA (Parcel Number 282505-9262). The proposed modification will consist of: adding three (3) new antennas and modify auxiliary equipment.  Verizon Wireless is requesting the review and approval of an Eligible Facilities Request.",2021/05/27 06:59:59+00,935.0,Belred,Belred,Nonresidential,[BR-OR] Bel-Red Office/Residential,229383.0
-122.157124965,47.616852509000104,13635 NE 8th St,Bellevue,98005,Closed,2021,Verizon Wireless - SEA Glendale,"Verizon Wireless proposes to modify an existing telecommunication facility at 13635 NE 8th Street, Bellevue, WA (Parcel Number 3425059103). The proposed modification will consist of: removing six (6) antennas, adding six (6) new antennas, and modifying auxiliary equipment.",2021/04/13 06:59:59+00,149.6,Wilburton/ne 8th St,Crossroads,Nonresidential,[O] Office,21637.0
-122.190039805,47.622049848000096,1200 112th Ave NE  - Bldg A,Bellevue,980043708,Closed,2021,Sea Horse,"Remove and exchange antennas and equipment on existing WCF, all antennas and equipment withing existing concealment.",2021/05/03 06:59:59+00,140.25,North Bellevue,Northwest Bellevue,Nonresidential,[OLB] Office and Limited Business,
-122.19030293700001,47.6369995470001,2950 Northup Way,Bellevue,980041402,Closed,2021,27088-068-D,City streetlight Pole Reservation Request. To allow time for design and eventual ROW application submittal (for replacement of existing city-owned streetlight pole with new SWF compatible city standard streetlight).,2021/05/05 06:59:59+00,101.0,North Bellevue,Northwest Bellevue,Nonresidential,[OLB] Office and Limited Business,48246.0
-122.17657721200001,47.61777347,12302 NE 8th St,Bellevue,980053116,Closed,2021,17732-005-B,City streetlight Pole Reservation Request. To allow time for design and eventual ROW application submittal (for replacement of existing city-owned streetlight pole with new SWF compatible city standard streetlight).,2021/05/05 06:59:59+00,101.0,Wilburton/ne 8th St,Wilburton,Nonresidential,[O] Office,19087.0
-122.17326077700001,47.621717011,12400 NE Bellevue-Redmond Rd  - Unit site,Bellevue,980052102,Closed,2021,17732-007-A,Reservation request for City pole# 207845 (on SL map as 313716),2021/05/19 06:59:59+00,,Belred,Belred,Nonresidential,[BR-OR] Bel-Red Office/Residential,878386.0
-122.181448421,47.624080701000004,1533 120th Ave NE,Bellevue,980052131,Closed,2021,17732-015-D,City streetlight Pole Reservation Request. To allow time for design and eventual ROW application submittal (for replacement of existing city-owned streetlight pole with new SWF compatible city standard streetlight).,2021/05/05 06:59:59+00,101.0,Belred,Belred,Nonresidential,[BR-OR-2] Bel-Red-Office/Residential Node 2,161596.0
-122.189327125,47.5959349460001,1800 114th Ave SE,Bellevue,98004,Closed,2021,SE02614A Spieker Bellefield (L600; Anchor) - T-Mob,"Eligible Facilities Request for an existing rooftop mounted WCF. On the rooftop of the existing office building, replace (2) of the existing (4) panel antennas and add (2) new panel antennas for a new total of (6), replace all (4) remote radio units, remove (4) over-voltage protector units, add (2) hybrid cable junction boxes, remove (8) diplexer units at the antennas, add (4) diplexer units at the radio cabinets, and replace (2) of the existing (3) radio equipment cabinets.",2021/04/27 06:59:59+00,187.0,Southwest Bellevue,West Bellevue,Nonresidential,[O] Office,184965.0
-122.17326077700001,47.621717011,12400 NE Bellevue-Redmond Rd  - Unit site,Bellevue,980052102,Pending,2021,17732-007-A,City streetlight Pole Reservation Request. To allow time for design and eventual ROW application submittal (for replacement of existing city-owned streetlight pole with new SWF compatible city standard streetlight).,2021/05/05 06:59:59+00,101.0,Belred,Belred,Nonresidential,[BR-OR] Bel-Red Office/Residential,878386.0
-122.18558615100001,47.6290723660001,2110 116th Ave NE,Bellevue,98004304,Closed,2021,Belle Harbour Signage,"Signage for 2 buildings on one parcel. Signs include monument signs, building mounted signs and site directional signage., 18-108458 BB",2021/08/05 06:59:59+00,607.75,Belred,Belred,Nonresidential,[BR-MO] Bel-Red-Medical Office,
-122.17739014799999,47.621004808000094,1212 122nd Ave NE,Bellevue,980052101,Closed,2021,AT&T small cell Installation,City street light Pole Reservation Request. To allow time for design and eventual ROW application submittal (for replacement of existing city-owned street light pole with new city standard street light and SWF combined).,2021/03/05 08:00:00+00,101.0,Belred,Belred,Nonresidential,[BR-OR-2] Bel-Red-Office/Residential Node 2,
-122.19078337,47.635935327,2821 Northup Way,Bellevue,980041439,Closed,2021,Mastec 27088-068-B,Reservation request for City pole# 535063,2021/03/05 08:00:00+00,101.0,North Bellevue,Northwest Bellevue,Nonresidential,[OLB] Office and Limited Business,86698.0
-122.17581405799999,47.629294527000106,12399 Northup Way,Bellevue,98005,Closed,2021,AT&T 27104-036-A / WARDM-036,City streetlight Pole Reservation Request. To allow time for design and eventual ROW application submittal (for replacement of existing city-owned streetlight pole with new city standard streetlight and SWF combined).,2021/03/05 08:00:00+00,0.0,Belred,Belred,Nonresidential,[BR-OR] Bel-Red Office/Residential,53191.0
